distance;min_signalstrength;max_signalstrength;avg_signalstrength
30;-63;-57;-60
40;-70;-56;-61
50;-83;-58;-67
60;-96;-60;-73
70;-75;-59;-66
80;-69;-60;-65
90;-69;-58;-63
100;-65;-55;-59
110;-67;-55;-61
120;-67;-55;-61
130;-66;-60;-63
140;-67;-58;-63
150;-73;-62;-68
160;-70;-56;-61
170;-77;-57;-64
180;-74;-57;-63
190;-71;-65;-67
200;-86;-59;-64
210;-76;-60;-64
220;-86;-69;-72
230;-75;-67;-71
240;-76;-63;-68
250;-80;-68;-73
260;-78;-64;-69
270;-76;-60;-67
280;-76;-68;-71
290;-76;-62;-70
300;-90;-63;-69
310;-73;-67;-69
320;-88;-69;-73
330;-76;-61;-69
340;-81;-64;-69
350;-79;-63;-70
360;-82;-68;-75
370;-84;-64;-69
380;-79;-65;-72
390;-85;-70;-75
400;-82;-70;-74
