distance;min;max;avg
30;-65;-50;-57.8041237113402
40;-60;-56;-57.93478260869565
50;-64;-52;-57.61052631578947
60;-83;-52;-57.44565217391305
70;-67;-55;-60.04081632653061
80;-64;-54;-57.56382978723404
90;-63;-54;-57.14130434782609
100;-62;-51;-55.74226804123711
110;-64;-50;-55.87368421052631
120;-61;-51;-54.95744680851064
130;-64;-52;-56.1063829787234
140;-63;-52;-57.17977528089887
150;-64;-51;-56.6063829787234
160;-60;-54;-57.4468085106383
170;-66;-54;-57.87368421052631
180;-63;-55;-59.35416666666666
190;-65;-59;-61.40625
200;-62;-59;-60.83333333333334
210;-66;-55;-58.9247311827957
220;-73;-60;-63.11111111111111
230;-67;-59;-63.40217391304348
240;-74;-57;-65.29473684210527
250;-66;-57;-61.31958762886598
260;-66;-60;-64.16494845360825
270;-68;-58;-64.83157894736843
280;-76;-56;-62.23469387755102
290;-71;-59;-62.77551020408163
300;-81;-59;-71.41
310;-69;-61;-65.31914893617021
320;-76;-60;-67.1978021978022
330;-80;-65;-73.13978494623656
340;-82;-66;-72.06666666666666
350;-80;-67;-71.85416666666667
360;-72;-61;-65.29896907216495
370;-76;-67;-71.85416666666667
380;-84;-68;-75.47826086956522
390;-75;-60;-67.26666666666667
400;-71;-61;-66.26530612244898
