distance;avg
30;-57.8041237113402
40;-57.93478260869565
50;-57.61052631578947
60;-57.44565217391305
70;-60.04081632653061
80;-57.56382978723404
90;-57.14130434782609
100;-55.74226804123711
110;-55.87368421052631
120;-54.95744680851064
130;-56.1063829787234
140;-57.17977528089887
150;-56.6063829787234
160;-57.4468085106383
170;-57.87368421052631
180;-59.35416666666666
190;-61.40625
200;-60.83333333333334
210;-58.9247311827957
220;-63.11111111111111
230;-63.40217391304348
240;-65.29473684210527
250;-61.31958762886598
260;-64.16494845360825
270;-64.83157894736843
280;-62.23469387755102
290;-62.77551020408163
300;-71.41
310;-65.31914893617021
320;-67.1978021978022
330;-73.13978494623656
340;-72.06666666666666
350;-71.85416666666667
360;-65.29896907216495
370;-71.85416666666667
380;-75.47826086956522
390;-67.26666666666667
400;-66.26530612244898
