distance;avg;median
30;-57.8041237113402;-56
40;-57.93478260869565;-58
50;-57.61052631578947;-56
60;-57.44565217391305;-56
70;-60.04081632653061;-58
80;-57.56382978723404;-57
90;-57.14130434782609;-55
100;-55.74226804123711;-56
110;-55.87368421052631;-53
120;-54.95744680851064;-54
130;-56.1063829787234;-54
140;-57.17977528089887;-55
150;-56.6063829787234;-56
160;-57.4468085106383;-57
170;-57.87368421052631;-57
180;-59.35416666666666;-58
190;-61.40625;-60
200;-60.83333333333334;-61
210;-58.9247311827957;-58
220;-63.11111111111111;-62
230;-63.40217391304348;-63
240;-65.29473684210527;-63
250;-61.31958762886598;-63
260;-64.16494845360825;-64
270;-64.83157894736843;-67
280;-62.23469387755102;-60
290;-62.77551020408163;-61
300;-71.41;-73
310;-65.31914893617021;-67
320;-67.1978021978022;-64
330;-73.13978494623656;-72
340;-72.06666666666666;-70
350;-71.85416666666667;-70
360;-65.29896907216495;-65
370;-71.85416666666667;-71
380;-75.47826086956522;-74
390;-67.26666666666667;-67
400;-66.26530612244898;-66
